# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	216	242	229	269	0
11111	176	242	189	269	0

#WALKING RIGHT
11222	256	242	271	269	0
11223	295	244	310	269	0

#WALKING LEFT
11212	134	242	149	269	0
11213	95	244	110	269	0

#RUNNING RIGHT
11321	213	322	232	349	0
11322	253	322	272	349	0
11323	293	322	312	349	0

#RUNNING LEFT
11311	173	322	192	349	0
11312	133	322	152	349	0
11313	93	322	112	349	0

#JUMP WALK RIGHT & LEFT
11417	335	244	350	269	0
11413	55	244	70	269	0


#JUMP RUN RIGHT & LEFT
11427	333	364	352	389	0
11423	53	364	72	389	0

#SIT RIGHT & LEFT 
11521	376	248	389	265	0
11511	16	248	29	265	0

#BRACE RIGHT & LEFT 
11621	215	283	230	310	0
11611	175	283	190	310	0

#KICK RIGHT & LEFT
11721	252	283	273	310	0
11711	132	283	153	310	0

#HOLDING - LEFT
11811	61	323	74	350	0
11812	34	323	49	350	0

#HOLDING - RIGHT
11821	331	323	344	350	0
11822	356	323	371	350	0

#DIE
13001	15	209	30	224	0

############ SMALL ################
 #IDLE
12121	217	88	228	103	0
12111	177	88	188	103	0

#WALK RIGHT
12221	256	89	271	104	0

#WALK LEFT
12211	134	89	149	104	0

#RUN RIGHT
12321	215	169	230	184	0
12322	255	169	270	184	0

#RUN LEFT
12311	175	169	190	184	0
12312	135	169	150	184	0

#BRACE RIGHT & LEFT
12521	216	129	229	144	0
12511	176	129	189	144	0

#JUMP WALK RIGHT & LEFT 
12417	335	89	350	104	0
12413	55	89	70	104	0

#JUMP RUN RIGHT & LEFT 
12427	296	129	311	144	0
12423	94	129	109	144	0

#KICK RIGHT & LEFT
12621	255	129	270	144	0
12611	135	129	150	144	0

#HOLDING - LEFT
12811	56	169	68	184	0
12812	14	169	29	184	0

#HOLDING - RIGHT
12821	336	169	349	184	0
12822	376	169	391	184	0

#####  RACCOON ###############
#IDLE
13121	212	443	233	470	0
13111	172	443	193	470	0

#WALKING RIGHT
13222	262	443	283	470	0
13223	291	443	314	470	0

#WALKING LEFT
13212	122	443	143	470	0
13213	91	443	114	470	0

#RUNNING RIGHT
13321	211	523	234	550	0
13322	251	523	274	550	0
13323	291	523	314	550	0

#RUNNING LEFT
13311	171	523	194	550	0
13312	131	523	154	550	0
13313	91	523	114	550	0

#JUMP WALK RIGHT & LEFT
13417	331	443	354	470	0
13413	51	443	74	470	0


#JUMP RUN RIGHT & LEFT
13427	291	563	314	590	0
13423	91	563	114	590	0

#SIT RIGHT & LEFT 
13521	372	448	393	465	0
13511	12	448	33	465	0

#BRACE RIGHT & LEFT 
13621	215	482	230	511	0
13611	175	482	190	511	0

#KICK RIGHT & LEFT
13721	247	483	268	510	0
13711	137	483	158	510	0

#HOLDING - LEFT
13811	62	523	83	550	0
13812	33	523	54	550	0

#HOLDING - RIGHT
13821	322	523	343	550	0
13822	351	523	372	550	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#KICK RIGHT & LEFT 
1010	11721	100
1011	11711	100

#HOLDING LEFT & RIGHT
1020	11811	100
1021	11811	100	11812	100

1025	11821	100
1026	11821	100	11822	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12221	100
1201	12111	100	12211	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100
1301	12311	100	12312	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK RIGHT & LEFT 
1610	12621	100
1611	12611	100

#HOLDING LEFT & RIGHT
1620	12811	100
1621	12811	100	12812	100

1625	12821	100
1626	12821	100	12822	100

################### RACCOON #################
1700	13121	100
1701	13111	100

#WALKING RIGHT & LEFT 
1800	13121	100	13222	100	13223	100
1801	13111	100	13212	100	13213	100

#RUNNING RIGHT & LEFT
1900	13321	50	13322	50	13323	50
1901	13311	50	13312	50	13313	50

#JUMP WALK
2000	13417	100
2001	13413	100

#JUMP RUN
2100	13427	100
2101	13423	100

#SIT RIGHT & LEFT 
2200	13521	100
2201	13511	100

#BRACE RIGHT & LEFT 
2300	13621	100
2301	13611	100

#KICK RIGHT & LEFT 
2310	13721	100
2311	13711	100

#HOLDING LEFT & RIGHT
2320	13811	100
2321	13811	100	13812	100

2325	13821	100
2326	13821	100	13822	100
